customer_id,umur,region,jenis_kelamin,status_nikah,jenis_pekerjaan,has_sms_fin,has_internet_fin,has_tabungan,has_giro,has_deposito,has_loan,jenis_merchant
c0040,33.0,K,,K,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0041,36.0,I,M,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0042,33.0,B,M,K,Wiraswasta,0.0,0.0,1.0,1.0,0.0,0.0,PARTNERSHIP
c0043,30.0,K,M,B,Others,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0044,41.0,R,M,K,Wiraswasta,0.0,0.0,1.0,1.0,1.0,1.0,RITEL
c0045,,B,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0046,33.0,K,M,,Pedagang,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0047,,H,M,,Wiraswasta,0.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0048,35.0,P,F,K,Wiraswasta,1.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0049,,C,M,B,Wiraswasta,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0050,68.0,R,M,K,,0.0,0.0,1.0,1.0,1.0,0.0,RITEL
c0051,,B,F,K,Pedagang,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0052,55.0,N,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0053,29.0,I,M,B,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0054,53.0,P,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0055,35.0,B,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0056,40.0,G,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0057,55.0,B,M,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0058,26.0,K,F,B,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0059,29.0,L,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0060,58.0,F,M,K,Pedagang,0.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0061,36.0,B,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0062,56.0,Q,M,K,Pedagang,1.0,0.0,1.0,1.0,1.0,1.0,RITEL
c0063,33.0,C,F,K,Others,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0064,57.0,M,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0065,53.0,I,F,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0066,36.0,G,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0067,44.0,R,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0068,32.0,B,M,K,Others,0.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0069,46.0,P,M,K,Wiraswasta,0.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0070,,K,F,K,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0071,26.0,L,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0072,,N,M,K,Wiraswasta,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0073,51.0,K,F,K,,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0074,58.0,X,M,K,Pedagang,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0075,54.0,O,M,,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0076,32.0,G,M,B,Wiraswasta,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0077,45.0,G,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0078,60.0,F,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0079,26.0,Q,M,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0080,49.0,I,,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0081,40.0,B,M,B,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,PARTNERSHIP
c0082,57.0,F,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0083,36.0,P,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0084,26.0,G,F,K,,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0085,34.0,F,M,B,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0086,,I,M,D,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0087,44.0,F,F,K,Ibu Rumah Tangga,1.0,1.0,1.0,1.0,1.0,0.0,RITEL
c0088,,M,M,K,Wiraswasta,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0089,26.0,F,M,B,Others,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0090,39.0,R,M,K,Wiraswasta,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0091,45.0,F,M,K,,1.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0092,49.0,B,F,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0093,32.0,Q,M,B,Others,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0094,39.0,G,F,K,,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0095,35.0,L,M,K,Wiraswasta,1.0,1.0,1.0,1.0,1.0,1.0,RITEL
c0096,29.0,N,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0097,,Q,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0098,,M,,K,Wiraswasta,0.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0099,56.0,B,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,PARTNERSHIP
c0100,31.0,F,M,B,Wiraswasta,1.0,0.0,1.0,1.0,0.0,1.0,RITEL
c0101,55.0,B,F,K,,0.0,0.0,1.0,0.0,1.0,0.0,RITEL
c0102,45.0,I,F,K,Pegawai Swasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0103,35.0,I,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0104,31.0,G,M,,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0105,36.0,P,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0106,,K,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0107,45.0,M,F,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0108,35.0,B,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0109,36.0,F,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0110,40.0,J,F,K,,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0111,57.0,Q,M,K,Wiraswasta,1.0,1.0,0.0,1.0,0.0,1.0,RITEL
c0112,34.0,L,F,K,Ibu Rumah Tangga,1.0,0.0,1.0,0.0,1.0,0.0,RITEL
c0113,61.0,R,M,K,Wiraswasta,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0114,34.0,X,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0115,61.0,K,M,K,Wiraswasta,0.0,0.0,1.0,1.0,0.0,1.0,RITEL
c0116,28.0,C,F,B,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0117,56.0,K,M,,Wiraswasta,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0118,,G,F,K,Pedagang,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0119,40.0,K,F,,Pedagang,1.0,1.0,1.0,1.0,1.0,1.0,RITEL
c0120,49.0,R,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0121,,F,M,,Wiraswasta,0.0,0.0,1.0,0.0,1.0,0.0,RITEL
c0122,28.0,D,,,Others,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0123,48.0,X,M,,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0124,26.0,F,F,B,Others,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0125,,L,M,K,Wiraswasta,1.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0126,39.0,X,F,J,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0127,28.0,F,M,,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0128,35.0,F,M,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0129,,R,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0130,34.0,L,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0131,31.0,G,M,K,Others,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0132,47.0,X,M,K,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0133,66.0,M,M,K,Wiraswasta,1.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0134,41.0,H,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0135,35.0,H,F,,,1.0,1.0,1.0,0.0,0.0,0.0,PARTNERSHIP
c0136,32.0,D,M,K,Pegawai Swasta,1.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0137,39.0,M,M,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0138,43.0,N,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0139,43.0,M,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0140,50.0,R,M,K,Wiraswasta,0.0,1.0,1.0,1.0,1.0,0.0,RITEL
c0141,,I,F,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0142,,J,M,K,,1.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0143,30.0,G,F,K,Others,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0144,49.0,L,F,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0145,35.0,G,M,,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0146,43.0,H,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0147,37.0,Q,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0148,35.0,R,F,K,Others,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0149,,M,F,K,Pedagang,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0150,31.0,H,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0151,,Q,M,,Pedagang,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0152,,B,F,K,Pedagang,0.0,0.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0153,40.0,X,F,B,Wiraswasta,0.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0154,50.0,L,M,K,Wiraswasta,0.0,0.0,1.0,0.0,1.0,0.0,RITEL
c0155,53.0,I,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0156,54.0,Q,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0157,36.0,R,M,,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0158,42.0,R,M,K,Wiraswasta,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0159,54.0,K,,,Pegawai Swasta,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0160,41.0,K,M,K,,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0161,39.0,B,F,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0162,,G,F,K,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0163,41.0,H,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0164,39.0,F,F,K,Ibu Rumah Tangga,1.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0165,46.0,F,M,,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0166,34.0,C,F,K,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0167,,N,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0168,65.0,Q,F,,Wiraswasta,0.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0169,31.0,K,M,B,,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0170,43.0,I,M,K,Wiraswasta,1.0,1.0,1.0,1.0,1.0,1.0,RITEL
c0171,49.0,M,F,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0172,,G,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0173,36.0,Q,M,B,Pedagang,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0174,,B,F,K,Ibu Rumah Tangga,0.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0175,40.0,P,M,K,Wiraswasta,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0176,36.0,B,M,K,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0177,,B,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0178,55.0,G,F,B,Pedagang,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0179,30.0,N,F,B,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0180,42.0,F,M,B,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0181,47.0,K,M,,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0182,,N,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0183,,F,,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0184,46.0,B,M,K,Wiraswasta,0.0,1.0,1.0,1.0,1.0,1.0,RITEL
c0185,42.0,K,F,B,Wiraswasta,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0186,44.0,H,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0187,34.0,G,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0188,35.0,I,F,B,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0189,48.0,R,M,K,Pegawai Swasta,0.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0190,,F,F,J,Wiraswasta,0.0,0.0,1.0,0.0,1.0,0.0,RITEL
c0191,,I,,K,,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0192,37.0,B,F,K,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,PARTNERSHIP
c0193,51.0,F,F,K,Ibu Rumah Tangga,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0194,43.0,F,F,,Ibu Rumah Tangga,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0195,,J,,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0196,25.0,D,M,B,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0197,25.0,F,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0198,42.0,C,M,K,Wiraswasta,1.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0199,57.0,R,M,K,Pedagang,0.0,1.0,0.0,1.0,0.0,1.0,RITEL
c0200,40.0,B,M,K,Others,0.0,1.0,1.0,0.0,0.0,0.0,CHAIN
c0201,,G,M,K,Pedagang,0.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0202,64.0,Q,,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,CHAIN
c0203,42.0,Q,M,K,Wiraswasta,1.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0204,53.0,Q,M,K,Wiraswasta,1.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0205,30.0,R,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0206,40.0,X,M,,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0207,45.0,F,,K,Wiraswasta,0.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0208,35.0,H,M,K,,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0209,35.0,B,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0210,30.0,P,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0211,,F,M,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0212,59.0,P,,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0213,39.0,E,M,K,Wiraswasta,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0214,53.0,B,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0215,49.0,E,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0216,39.0,F,M,K,Pedagang,1.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0217,40.0,J,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0218,30.0,X,M,K,Others,1.0,1.0,1.0,1.0,1.0,0.0,RITEL
c0219,35.0,X,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0220,28.0,F,M,,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0221,,D,F,K,Others,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0222,42.0,I,F,K,Ibu Rumah Tangga,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0223,37.0,M,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0224,34.0,X,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0225,42.0,B,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0226,48.0,B,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0227,35.0,X,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0228,37.0,M,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0229,68.0,L,,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0230,66.0,B,F,K,Ibu Rumah Tangga,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0231,36.0,M,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0232,,M,F,K,Wiraswasta,1.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0233,63.0,L,F,K,Others,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0234,41.0,R,M,B,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0235,38.0,C,M,,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0236,,B,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0237,34.0,B,F,K,,0.0,0.0,1.0,1.0,1.0,0.0,RITEL
c0238,26.0,F,M,,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0239,32.0,F,F,K,Pegawai Swasta,1.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0240,45.0,M,F,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0241,,H,M,K,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0242,32.0,H,F,K,Pegawai Swasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0243,49.0,P,M,K,,0.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0244,,R,F,,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0245,,L,M,K,Pedagang,0.0,1.0,1.0,1.0,1.0,0.0,RITEL
c0246,48.0,F,M,,Wiraswasta,0.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0247,51.0,C,F,,Others,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0248,,R,F,K,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0249,30.0,K,M,B,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0250,32.0,D,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0251,45.0,B,M,K,,0.0,0.0,1.0,1.0,0.0,1.0,RITEL
c0252,41.0,R,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0253,37.0,D,F,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0254,40.0,B,F,K,Wiraswasta,0.0,1.0,1.0,0.0,1.0,0.0,RITEL
c0255,61.0,B,F,J,Wiraswasta,0.0,1.0,1.0,0.0,1.0,1.0,PARTNERSHIP
c0256,38.0,P,M,,Pedagang,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0257,48.0,Q,M,K,Wiraswasta,0.0,1.0,1.0,1.0,1.0,1.0,RITEL
c0258,,K,M,B,Wiraswasta,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0259,,B,F,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0260,27.0,R,M,K,Others,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0261,,X,F,K,Others,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0262,41.0,R,M,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0263,,B,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0264,26.0,R,,B,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0265,35.0,E,M,,Pegawai Swasta,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0266,,M,M,B,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0267,33.0,X,M,B,Others,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0268,51.0,K,F,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0269,34.0,B,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,PARTNERSHIP
c0270,50.0,M,M,K,,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0271,37.0,M,M,K,Wiraswasta,0.0,0.0,1.0,1.0,1.0,0.0,RITEL
c0272,50.0,D,M,K,Others,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0273,27.0,G,M,,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0274,43.0,O,M,K,Pegawai Swasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0275,56.0,I,M,K,,1.0,0.0,1.0,1.0,1.0,0.0,RITEL
c0276,,H,M,K,Others,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0277,29.0,B,M,K,,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0278,30.0,P,M,K,Others,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0279,38.0,L,F,K,Ibu Rumah Tangga,1.0,1.0,1.0,0.0,0.0,1.0,RITEL
